date;DU UH Equity;SCL LN Equity;BMA AR Equity;GCLA AR Equity;EBS AV Equity;OMV AV Equity;VER AV Equity;ABP AU Equity;AGL AU Equity;AHY AU Equity;AIO AU Equity;AMC AU Equity;ANZ LN Equity;AST AU Equity;ASX AU Equity;AWC AU Equity;AWE AU Equity;AZJ AU Equity;BGA AU Equity;BHP AU Equity;BKW AU Equity;BPT AU Equity;BSL AU Equity;BWP AU Equity;BXB LN Equity;CBA AU Equity;CCL AU Equity;CGC AU Equity;CGF AU Equity;CHC AU Equity;CIM AU Equity;CSR AU Equity;CTX AU Equity;CWN AU Equity;CWY AU Equity;DOW AU Equity;DUE AU Equity;DXS AU Equity;EHL AU Equity;EVN AU Equity;FMG AU Equity;FXJ AU Equity;GMG AU Equity;GNC AU Equity;GPT AU Equity;GWA AU Equity;IAG AU Equity;IFN AU Equity;IGO AU Equity;IPL AU Equity;KCN AU Equity
30/10/1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30/11/1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31/12/1997;0;0;0.31942735;0;0.067873133;0;0;0;0;0;0;0;0;0;0;0.008834375;0;0;0;0.027497815;0;0.114676892;0;0;0;-0.008116274;0.439502168;0;0;0;0;0.022678799;0;0;0;3.450450323;0;0;0;0;0;0.049134412;0;0;0.116900187;0.021193899;0;0;0;0;0.099820406
29/01/1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26/02/1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31/03/1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30/04/1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31/05/1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30/06/1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30/07/1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31/08/1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30/09/1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29/10/1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30/11/1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31/12/1998;0;0;0;0;-0.000609086;0;0;0;0;0;0;0;0;0;0;0.006271234;0;0;0;-0.159014035;0;0.278262252;0;0;0;-0.00727608;0.176848007;0;0;0;0;0.003438546;0.405465108;0;0;0.111016359;0;0;0;0;0;-0.094651563;0;0.000203545;0.077749099;0.115394865;0;0;0;0;0.192731206
